Run	Speed	Feed	Hard	TC1	TC2
1 	58	0.1	40 	700 	595
2	58	0.1 	48 	735 	635
3 	58	0.1	56 	920 	792 
4 	58	0.12 	40 	726 	632 
5 	58	0.12	48 	761 	672 
6	58 	0.12 	56 	958	835 
7 	58 	0.14 	40 	764 	670 
8 	58 	0.14 	48 	799 	710 
9	58 	0.14	56 	996 	920 
10	81	0.1 	40 	750 	645 
11	81 	0.1 	48 	785 	685 
12 	81 	0.1 	56 	976 	875 
13	81 	0.12	40 	750 	660 
14 	81 	0.12 	48 	785 	700 
15	81 	0.12	56 	998 	892 
16 	81 	0.14	40 	805 	708
17 	81	0.14 	48 	840 	748 
18 	81 	0.14 	56 	1035	942 
19	115 	0.1 	40 	809 	725 
20 	115 	0.1 	48 	844 	765 
21	115 	0.1 	56 	1064 	932 
22 	115 	0.12	40 	833 	746 
23 	115 	0.12	48 	868 	786 
24 	115 	0.12 	56 	1098 	972 
25 	115 	0.14 	40 	854 	770 
26 	115 	0.14 	48 	889 	810 
27 	115 	0.14 	56 	1150 	1045 
